timestamp,src_ip,dst_ip,protocol,length
1753546826.350908,192.168.1.4,192.168.1.1,ARP,42
1753546871.65046,192.168.1.1,192.168.1.4,ARP,42
1753546871.650597,192.168.1.4,192.168.1.1,ARP,42
1753545997.418137,192.168.1.4,192.168.1.1,17,85
1753545997.42556,192.168.1.1,192.168.1.4,17,327
1753545998.897794,192.168.1.4,192.168.1.1,17,85
1753545998.899237,192.168.1.4,192.168.1.1,17,85
1753545998.899898,192.168.1.1,192.168.1.4,17,117
1753545998.905813,192.168.1.1,192.168.1.4,17,158
1753546003.470298,192.168.1.4,192.168.1.1,17,92
1753546003.477869,192.168.1.1,192.168.1.4,17,320
1753546054.450845,192.168.1.4,192.168.1.1,17,85
1753546054.451266,192.168.1.4,192.168.1.1,17,85
1753546054.452587,192.168.1.1,192.168.1.4,17,117
1753546054.45761,192.168.1.1,192.168.1.4,17,158
1753546057.203929,192.168.1.4,192.168.1.1,17,91
1753546057.210482,192.168.1.1,192.168.1.4,17,226
1753546058.15186,192.168.1.4,192.168.1.1,17,92
1753546058.157967,192.168.1.1,192.168.1.4,17,320
1753546061.808099,192.168.1.4,192.168.1.1,17,85
1753546061.809233,192.168.1.4,192.168.1.1,17,85
1753546061.810377,192.168.1.1,192.168.1.4,17,117
1753546061.816934,192.168.1.1,192.168.1.4,17,158
1753546112.063892,192.168.1.4,192.168.1.1,17,80
1753546112.080444,192.168.1.1,192.168.1.4,17,208
1753546124.356367,192.168.1.4,192.168.1.1,17,85
1753546124.356782,192.168.1.4,192.168.1.1,17,85
1753546124.361965,192.168.1.1,192.168.1.4,17,117
1753546124.373624,192.168.1.1,192.168.1.4,17,158
1753546173.737187,192.168.1.4,192.168.1.1,17,81
1753546173.768731,192.168.1.4,192.168.1.1,17,81
1753546174.135769,192.168.1.1,192.168.1.4,17,167
1753546176.590056,192.168.1.4,192.168.1.1,17,89
1753546176.596396,192.168.1.1,192.168.1.4,17,226
1753546233.013995,192.168.1.4,192.168.1.1,17,74
1753546233.020967,192.168.1.1,192.168.1.4,17,113
1753546248.937362,192.168.1.4,192.168.1.1,17,85
1753546248.939151,192.168.1.4,192.168.1.1,17,85
1753546248.939624,192.168.1.1,192.168.1.4,17,117
1753546248.945335,192.168.1.1,192.168.1.4,17,158
1753546359.187639,192.168.1.4,192.168.1.1,17,80
1753546359.194359,192.168.1.1,192.168.1.4,17,146
1753546412.059167,192.168.1.4,192.168.1.1,17,80
1753546412.066774,192.168.1.1,192.168.1.4,17,304
1753546474.155885,192.168.1.4,192.168.1.1,17,81
1753546474.191071,192.168.1.4,192.168.1.1,17,81
1753546474.535602,192.168.1.1,192.168.1.4,17,167
1753546559.046453,192.168.1.4,192.168.1.1,17,85
1753546559.047698,192.168.1.4,192.168.1.1,17,85
1753546559.054696,192.168.1.1,192.168.1.4,17,117
1753546559.057175,192.168.1.1,192.168.1.4,17,158
1753546638.601682,192.168.1.4,192.168.1.1,17,85
1753546638.602193,192.168.1.4,192.168.1.1,17,85
1753546638.60757,192.168.1.1,192.168.1.4,17,117
1753546638.611205,192.168.1.1,192.168.1.4,17,158
1753546662.537803,192.168.1.4,192.168.1.1,17,78
1753546662.539222,192.168.1.4,192.168.1.1,17,78
1753546662.544775,192.168.1.1,192.168.1.4,17,178
1753546662.546113,192.168.1.1,192.168.1.4,17,193
1753546662.985784,192.168.1.4,192.168.1.1,17,85
1753546662.993144,192.168.1.1,192.168.1.4,17,327
1753546712.052251,192.168.1.4,192.168.1.1,17,80
1753546712.059625,192.168.1.1,192.168.1.4,17,304
1753546774.558592,192.168.1.4,192.168.1.1,17,81
1753546774.585851,192.168.1.4,192.168.1.1,17,81
1753546774.931191,192.168.1.1,192.168.1.4,17,167
1753546785.198061,192.168.1.4,192.168.1.1,17,85
1753546785.198897,192.168.1.4,192.168.1.1,17,85
1753546785.209317,192.168.1.1,192.168.1.4,17,117
1753546785.210851,192.168.1.1,192.168.1.4,17,158
1753545977.455624,3.233.158.25,192.168.1.4,6,66
1753545977.45729,3.233.158.25,192.168.1.4,6,66
1753545980.116298,192.168.1.4,104.18.43.204,6,55
1753545980.139582,104.18.43.204,192.168.1.4,6,66
1753545980.380489,192.168.1.4,224.0.0.251,17,344
1753545980.383057,192.168.1.4,224.0.0.251,17,93
1753545980.638197,192.168.1.4,224.0.0.251,17,93
1753545980.893858,192.168.1.4,224.0.0.251,17,93
1753545981.155084,192.168.1.4,224.0.0.251,17,422
1753545981.157066,192.168.1.4,224.0.0.251,17,358
1753545981.407581,192.168.1.4,192.168.1.3,6,164
1753545981.519172,192.168.1.3,192.168.1.4,6,164
1753545981.568493,192.168.1.4,192.168.1.3,6,54
1753545984.236554,192.168.1.4,104.26.7.95,6,111
1753545984.254835,104.26.7.95,192.168.1.4,6,54
1753545984.537687,104.26.7.95,192.168.1.4,6,505
1753545984.537687,104.26.7.95,192.168.1.4,6,176
1753545984.537687,104.26.7.95,192.168.1.4,6,85
1753545984.53781,192.168.1.4,104.26.7.95,6,54
1753545984.538533,192.168.1.4,104.26.7.95,6,89
1753545984.555828,104.26.7.95,192.168.1.4,6,54
1753545985.700114,192.168.1.4,35.190.80.1,6,55
1753545985.717051,35.190.80.1,192.168.1.4,6,66
1753545985.845751,192.168.1.4,35.190.80.1,6,55
1753545985.86347,35.190.80.1,192.168.1.4,6,66
1753545986.523966,192.168.1.4,192.168.1.3,6,164
1753545986.637548,192.168.1.3,192.168.1.4,6,164
1753545986.686254,192.168.1.4,192.168.1.3,6,54
1753545991.640916,192.168.1.4,192.168.1.3,6,164
1753545991.657999,192.168.1.3,192.168.1.4,6,164
1753545991.705499,192.168.1.4,192.168.1.3,6,54
1753545991.88076,3.233.158.25,192.168.1.4,6,528
1753545991.88076,3.233.158.25,192.168.1.4,6,54
1753545991.880905,192.168.1.4,3.233.158.25,6,54
1753545991.954691,3.233.158.25,192.168.1.4,6,93
1753545991.955004,192.168.1.4,3.233.158.25,6,54
1753545992.214305,3.233.158.25,192.168.1.4,6,54
1753545992.214305,3.233.158.25,192.168.1.4,6,78
1753545992.214427,192.168.1.4,3.233.158.25,6,54
1753545992.21462,192.168.1.4,3.233.158.25,6,54
1753545994.25458,192.168.1.4,104.26.7.95,6,111
1753545994.271701,104.26.7.95,192.168.1.4,6,54
1753545994.554591,104.26.7.95,192.168.1.4,6,509
1753545994.554591,104.26.7.95,192.168.1.4,6,176
1753545994.554591,104.26.7.95,192.168.1.4,6,85
1753545994.554775,192.168.1.4,104.26.7.95,6,54
1753545994.555827,192.168.1.4,104.26.7.95,6,89
1753545994.573112,104.26.7.95,192.168.1.4,6,54
1753545996.662414,192.168.1.4,192.168.1.3,6,164
1753545996.774702,192.168.1.3,192.168.1.4,6,164
1753545996.821939,192.168.1.4,192.168.1.3,6,54
1753545996.884827,192.168.1.1,192.168.1.4,ARP,42
1753545996.884874,192.168.1.4,192.168.1.1,ARP,42
1753545997.418137,192.168.1.4,192.168.1.1,17,85
1753545997.42556,192.168.1.1,192.168.1.4,17,327
1753545997.42817,192.168.1.4,20.190.146.33,6,66
1753545997.449513,20.190.146.33,192.168.1.4,6,66
1753545997.449688,192.168.1.4,20.190.146.33,6,54
1753545997.456319,192.168.1.4,20.190.146.33,6,529
1753545997.479983,20.190.146.33,192.168.1.4,6,1494
1753545997.479983,20.190.146.33,192.168.1.4,6,1494
1753545997.479983,20.190.146.33,192.168.1.4,6,1494
1753545997.479983,20.190.146.33,192.168.1.4,6,1494
1753545997.479983,20.190.146.33,192.168.1.4,6,625
1753545997.480214,192.168.1.4,20.190.146.33,6,54
1753545997.502977,192.168.1.4,20.190.146.33,6,134
1753545997.503491,192.168.1.4,20.190.146.33,6,134
1753545997.503576,192.168.1.4,20.190.146.33,6,509
1753545997.503679,192.168.1.4,20.190.146.33,6,3279
1753545997.503784,192.168.1.4,20.190.146.33,6,85
1753545997.534387,20.190.146.33,192.168.1.4,6,157
1753545997.534387,20.190.146.33,192.168.1.4,6,116
1753545997.534387,20.190.146.33,192.168.1.4,6,54
1753545997.534498,192.168.1.4,20.190.146.33,6,54
1753545997.535049,192.168.1.4,20.190.146.33,6,85
1753545997.556782,20.190.146.33,192.168.1.4,6,85
1753545997.556873,192.168.1.4,20.190.146.33,6,54
1753545997.724973,20.190.146.33,192.168.1.4,6,1494
1753545997.724973,20.190.146.33,192.168.1.4,6,1494
1753545997.725334,192.168.1.4,20.190.146.33,6,54
1753545997.725682,20.190.146.33,192.168.1.4,6,1494
1753545997.725682,20.190.146.33,192.168.1.4,6,1494
1753545997.725682,20.190.146.33,192.168.1.4,6,1494
1753545997.725682,20.190.146.33,192.168.1.4,6,1370
1753545997.726111,192.168.1.4,20.190.146.33,6,54
1753545997.8712,192.168.1.4,20.190.146.33,6,54
1753545998.897794,192.168.1.4,192.168.1.1,17,85
1753545998.899237,192.168.1.4,192.168.1.1,17,85
1753545998.899898,192.168.1.1,192.168.1.4,17,117
1753545998.905813,192.168.1.1,192.168.1.4,17,158
1753545998.907078,192.168.1.4,162.159.61.3,17,1292
1753545998.907145,192.168.1.4,162.159.61.3,17,1292
1753545998.907276,192.168.1.4,162.159.61.3,17,122
1753545998.907436,192.168.1.4,162.159.61.3,17,302
1753545998.907549,192.168.1.4,162.159.61.3,17,302
1753545998.923469,162.159.61.3,192.168.1.4,17,1242
1753545998.927701,162.159.61.3,192.168.1.4,17,1242
1753545998.927701,162.159.61.3,192.168.1.4,17,1242
1753545998.927701,162.159.61.3,192.168.1.4,17,66
1753545998.927701,162.159.61.3,192.168.1.4,17,66
1753545998.927701,162.159.61.3,192.168.1.4,17,91
1753545998.927701,162.159.61.3,192.168.1.4,17,662
1753545998.927701,162.159.61.3,192.168.1.4,17,626
1753545998.928536,192.168.1.4,162.159.61.3,17,1292
1753545998.928664,192.168.1.4,162.159.61.3,17,85
1753545998.928739,192.168.1.4,162.159.61.3,17,89
1753545998.928851,192.168.1.4,162.159.61.3,17,85
1753545998.929827,192.168.1.4,142.251.221.227,17,1292
1753545998.929882,192.168.1.4,142.251.221.227,17,1292
1753545998.93002,192.168.1.4,142.251.221.227,17,124
1753545998.930171,192.168.1.4,142.251.221.227,17,424
1753545998.9445,162.159.61.3,192.168.1.4,17,64
1753545998.947367,162.159.61.3,192.168.1.4,17,70
1753545998.947658,192.168.1.4,162.159.61.3,17,85
1753545998.950025,142.251.221.227,192.168.1.4,17,82
1753545998.950025,142.251.221.227,192.168.1.4,17,1292
1753545998.974748,192.168.1.4,142.251.221.227,17,1292
1753545998.991183,142.251.221.227,192.168.1.4,17,1292
1753545999.009718,142.251.221.227,192.168.1.4,17,1292
1753545999.009718,142.251.221.227,192.168.1.4,17,348
1753545999.009718,142.251.221.227,192.168.1.4,17,986
1753545999.009921,142.251.221.227,192.168.1.4,17,93
1753545999.009921,142.251.221.227,192.168.1.4,17,66
1753545999.010271,192.168.1.4,142.251.221.227,17,120
1753545999.010352,192.168.1.4,142.251.221.227,17,73
1753545999.02636,142.251.221.227,192.168.1.4,17,162
1753545999.02636,142.251.221.227,192.168.1.4,17,64
1753545999.027021,192.168.1.4,142.251.221.227,17,73
1753545999.053785,192.168.1.4,142.251.221.227,17,74
1753545999.233149,192.168.1.4,142.251.221.227,17,71
1753545999.237675,142.251.221.227,192.168.1.4,17,410
1753545999.245559,142.251.221.227,192.168.1.4,17,63
1753545999.245778,192.168.1.4,142.251.221.227,17,77
1753545999.246637,192.168.1.4,35.190.80.1,6,54
1753545999.246735,192.168.1.4,3.233.158.25,6,54
1753545999.246821,192.168.1.4,172.64.155.209,6,54
1753545999.246902,192.168.1.4,104.18.32.47,6,54
1753545999.246973,192.168.1.4,104.26.7.95,6,54
1753545999.247046,192.168.1.4,104.18.43.204,6,54
1753545999.24712,192.168.1.4,35.190.80.1,6,54
1753545999.250183,142.251.221.227,192.168.1.4,17,67
1753545999.264437,35.190.80.1,192.168.1.4,6,54
1753545999.26459,192.168.1.4,35.190.80.1,6,54
1753545999.265901,35.190.80.1,192.168.1.4,6,54
1753545999.265901,172.64.155.209,192.168.1.4,6,54
1753545999.266007,192.168.1.4,35.190.80.1,6,54
1753545999.266089,192.168.1.4,172.64.155.209,6,54
1753545999.266958,104.18.32.47,192.168.1.4,6,54
1753545999.266958,104.26.7.95,192.168.1.4,6,54
1753545999.26701,192.168.1.4,104.18.32.47,6,54
1753545999.267079,192.168.1.4,104.26.7.95,6,54
1753545999.269076,104.18.43.204,192.168.1.4,6,54
1753545999.269119,192.168.1.4,104.18.43.204,6,54
1753545999.297321,142.251.221.227,192.168.1.4,17,68
1753545999.505989,3.233.158.25,192.168.1.4,6,54
1753545999.855892,192.168.1.4,172.64.41.3,17,1292
1753545999.85598,192.168.1.4,172.64.41.3,17,1292
1753545999.857529,192.168.1.4,172.64.41.3,17,122
1753545999.857655,192.168.1.4,172.64.41.3,17,302
1753545999.857748,192.168.1.4,172.64.41.3,17,302
1753545999.879611,172.64.41.3,192.168.1.4,17,1242
1753545999.901058,172.64.41.3,192.168.1.4,17,1242
1753545999.901058,172.64.41.3,192.168.1.4,17,1242
1753545999.901058,172.64.41.3,192.168.1.4,17,66
1753545999.901058,172.64.41.3,192.168.1.4,17,66
1753545999.901058,172.64.41.3,192.168.1.4,17,91
1753545999.901058,172.64.41.3,192.168.1.4,17,663
1753545999.901058,172.64.41.3,192.168.1.4,17,627
1753545999.901788,192.168.1.4,172.64.41.3,17,1292
1753545999.901917,192.168.1.4,172.64.41.3,17,85
1753545999.902016,192.168.1.4,172.64.41.3,17,89
1753545999.902122,192.168.1.4,172.64.41.3,17,85
1753545999.902986,192.168.1.4,13.35.238.120,6,66
1753545999.920279,172.64.41.3,192.168.1.4,17,71
1753545999.959202,192.168.1.4,172.64.41.3,17,86
1753545999.971051,13.35.238.120,192.168.1.4,6,66
1753545999.971491,192.168.1.4,13.35.238.120,6,54
1753545999.973692,192.168.1.4,13.35.238.120,6,1979
1753546000.045426,13.35.238.120,192.168.1.4,6,54
1753546000.045426,13.35.238.120,192.168.1.4,6,54
1753546000.045426,13.35.238.120,192.168.1.4,6,288
1753546000.047189,192.168.1.4,13.35.238.120,6,118
1753546000.047332,192.168.1.4,13.35.238.120,6,146
1753546000.047465,192.168.1.4,13.35.238.120,6,1209
1753546000.124493,13.35.238.120,192.168.1.4,6,54
1753546000.124493,13.35.238.120,192.168.1.4,6,233
1753546000.124493,13.35.238.120,192.168.1.4,6,116
1753546000.124493,13.35.238.120,192.168.1.4,6,54
1753546000.124493,13.35.238.120,192.168.1.4,6,85
1753546000.124493,13.35.238.120,192.168.1.4,6,420
1753546000.124676,192.168.1.4,13.35.238.120,6,54
1753546000.124933,192.168.1.4,13.35.238.120,6,85
1753546000.234899,13.35.238.120,192.168.1.4,6,54
1753546000.505349,192.168.1.4,35.190.80.1,17,1292
1753546000.505517,192.168.1.4,35.190.80.1,17,1292
1753546000.519507,35.190.80.1,192.168.1.4,17,82
1753546000.52033,35.190.80.1,192.168.1.4,17,1292
1753546000.537694,192.168.1.4,35.190.80.1,6,66
1753546000.537858,192.168.1.4,35.190.80.1,17,1292
1753546000.551772,35.190.80.1,192.168.1.4,17,1292
1753546000.554419,35.190.80.1,192.168.1.4,6,66
1753546000.554558,192.168.1.4,35.190.80.1,6,54
1753546000.555147,192.168.1.4,35.190.80.1,6,2140
1753546000.572208,35.190.80.1,192.168.1.4,6,54
1753546000.572208,35.190.80.1,192.168.1.4,6,54
1753546000.580849,35.190.80.1,192.168.1.4,17,1292
1753546000.581297,192.168.1.4,35.190.80.1,17,82
1753546000.582166,192.168.1.4,35.190.80.1,17,125
1753546000.582281,192.168.1.4,35.190.80.1,17,115
1753546000.582462,192.168.1.4,35.190.80.1,17,465
1753546000.596656,35.190.80.1,192.168.1.4,17,626
1753546000.596656,35.190.80.1,192.168.1.4,17,163
1753546000.596656,35.190.80.1,192.168.1.4,17,69
1753546000.596964,192.168.1.4,35.190.80.1,17,73
1753546000.634548,35.190.80.1,192.168.1.4,6,266
1753546000.635786,192.168.1.4,35.190.80.1,6,118
1753546000.636176,192.168.1.4,35.190.80.1,17,74
1753546000.645728,35.190.80.1,192.168.1.4,17,64
1753546000.645948,192.168.1.4,35.190.80.1,17,75
1753546000.653492,35.190.80.1,192.168.1.4,6,54
1753546000.653492,35.190.80.1,192.168.1.4,6,672
1753546000.702524,192.168.1.4,35.190.80.1,6,54
1753546000.799835,192.168.1.4,35.190.80.1,17,71
1753546000.838377,35.190.80.1,192.168.1.4,17,66
1753546000.868373,35.190.80.1,192.168.1.4,17,217
1753546000.869265,192.168.1.4,35.190.80.1,17,1288
1753546000.869374,192.168.1.4,35.190.80.1,17,1275
1753546000.883867,35.190.80.1,192.168.1.4,17,69
1753546000.915434,192.168.1.4,35.190.80.1,17,74
1753546001.089574,192.168.1.4,35.190.80.1,17,71
1753546001.129152,35.190.80.1,192.168.1.4,17,66
1753546001.156137,35.190.80.1,192.168.1.4,17,85
1753546001.18963,192.168.1.4,35.190.80.1,17,78
1753546001.228977,35.190.80.1,192.168.1.4,17,66
1753546001.784008,192.168.1.4,192.168.1.3,6,164
1753546001.895165,192.168.1.3,192.168.1.4,6,164
1753546001.945177,192.168.1.4,192.168.1.3,6,54
1753546003.470298,192.168.1.4,192.168.1.1,17,92
1753546003.477869,192.168.1.1,192.168.1.4,17,320
1753546003.48546,192.168.1.4,23.208.178.166,6,66
1753546003.499934,23.208.178.166,192.168.1.4,6,66
1753546003.500229,192.168.1.4,23.208.178.166,6,54
1753546003.501985,192.168.1.4,23.208.178.166,6,251
1753546003.516267,23.208.178.166,192.168.1.4,6,54
1753546003.561543,23.208.178.166,192.168.1.4,6,1494
1753546003.561543,23.208.178.166,192.168.1.4,6,1494
1753546003.561543,23.208.178.166,192.168.1.4,6,1270
1753546003.561543,23.208.178.166,192.168.1.4,6,175
1753546003.561543,23.208.178.166,192.168.1.4,6,175
1753546003.562593,192.168.1.4,23.208.178.166,6,66
1753546003.568294,192.168.1.4,23.208.178.166,6,180
1753546003.610565,23.208.178.166,192.168.1.4,6,328
1753546003.637135,192.168.1.4,23.208.178.166,6,343
1753546003.658497,23.208.178.166,192.168.1.4,6,1302
1753546003.712425,192.168.1.4,23.208.178.166,6,54
1753546004.254273,192.168.1.4,104.26.7.95,6,66
1753546004.271478,104.26.7.95,192.168.1.4,6,66
1753546004.271627,192.168.1.4,104.26.7.95,6,54
1753546004.272509,192.168.1.4,104.26.7.95,6,2085
1753546004.290005,104.26.7.95,192.168.1.4,6,54
1753546004.290005,104.26.7.95,192.168.1.4,6,54
1753546004.29209,104.26.7.95,192.168.1.4,6,1429
1753546004.294082,192.168.1.4,104.26.7.95,6,118
1753546004.294253,192.168.1.4,104.26.7.95,6,146
1753546004.294381,192.168.1.4,104.26.7.95,6,537
1753546004.311139,104.26.7.95,192.168.1.4,6,54
1753546004.311139,104.26.7.95,192.168.1.4,6,575
1753546004.311404,192.168.1.4,104.26.7.95,6,85
1753546004.371109,104.26.7.95,192.168.1.4,6,54
1753546004.522461,192.168.1.4,23.208.178.166,6,384
1753546004.522626,192.168.1.4,23.208.178.166,6,288
1753546004.536633,23.208.178.166,192.168.1.4,6,54
1753546004.55085,23.208.178.166,192.168.1.4,6,711
1753546004.58068,104.26.7.95,192.168.1.4,6,680
1753546004.58068,104.26.7.95,192.168.1.4,6,176
1753546004.58068,104.26.7.95,192.168.1.4,6,85
1753546004.580796,192.168.1.4,104.26.7.95,6,54
1753546004.588189,192.168.1.4,135.171.2.152,6,66
1753546004.596094,192.168.1.4,23.208.178.166,6,54
1753546004.609741,192.168.1.4,23.208.178.166,6,54
1753546004.660469,135.171.2.152,192.168.1.4,6,66
1753546004.660615,192.168.1.4,135.171.2.152,6,54
1753546004.66227,192.168.1.4,135.171.2.152,6,601
1753546004.73815,135.171.2.152,192.168.1.4,6,1494
1753546004.73815,135.171.2.152,192.168.1.4,6,1494
1753546004.73815,135.171.2.152,192.168.1.4,6,1494
1753546004.73815,135.171.2.152,192.168.1.4,6,1494
1753546004.73815,135.171.2.152,192.168.1.4,6,738
1753546004.738404,192.168.1.4,135.171.2.152,6,54
1753546004.746424,192.168.1.4,135.171.2.152,6,142
1753546004.746662,192.168.1.4,135.171.2.152,6,1946
1753546004.746819,192.168.1.4,135.171.2.152,6,6016
1753546004.818031,135.171.2.152,192.168.1.4,6,157
1753546004.82126,135.171.2.152,192.168.1.4,6,54
1753546004.82126,135.171.2.152,192.168.1.4,6,54
1753546004.82126,135.171.2.152,192.168.1.4,6,54
1753546004.82126,135.171.2.152,192.168.1.4,6,54
1753546004.86866,192.168.1.4,135.171.2.152,6,54
1753546005.677845,135.171.2.152,192.168.1.4,6,1494
1753546005.677845,135.171.2.152,192.168.1.4,6,1494
1753546005.677845,135.171.2.152,192.168.1.4,6,1494
1753546005.677845,135.171.2.152,192.168.1.4,6,713
1753546005.678325,192.168.1.4,135.171.2.152,6,54
1753546005.703441,192.168.1.4,135.171.2.152,6,1933
1753546005.77618,135.171.2.152,192.168.1.4,6,54
1753546006.159753,192.168.1.4,172.64.41.3,17,307
1753546006.159892,192.168.1.4,172.64.41.3,17,307
1753546006.177713,172.64.41.3,192.168.1.4,17,65
1753546006.178396,172.64.41.3,192.168.1.4,17,627
1753546006.178998,172.64.41.3,192.168.1.4,17,65
1753546006.180937,172.64.41.3,192.168.1.4,17,627
1753546006.181075,192.168.1.4,172.64.41.3,17,85
1753546006.18159,192.168.1.4,172.64.155.209,6,66
1753546006.195318,172.64.155.209,192.168.1.4,6,66
1753546006.195487,192.168.1.4,172.64.155.209,6,54
1753546006.196117,192.168.1.4,172.64.155.209,6,2110
1753546006.212647,172.64.155.209,192.168.1.4,6,54
1753546006.212647,172.64.155.209,192.168.1.4,6,54
1753546006.213865,172.64.155.209,192.168.1.4,6,1429
1753546006.215904,192.168.1.4,172.64.155.209,6,118
1753546006.216058,192.168.1.4,172.64.155.209,6,146
1753546006.216446,192.168.1.4,172.64.155.209,6,6991
1753546006.216596,192.168.1.4,172.64.155.209,6,439
1753546006.216698,192.168.1.4,172.64.155.209,6,6743
1753546006.216757,192.168.1.4,172.64.155.209,6,640
1753546006.229439,172.64.155.209,192.168.1.4,6,582
1753546006.229572,192.168.1.4,172.64.155.209,6,54
1753546006.229777,192.168.1.4,172.64.155.209,6,85
1753546006.233473,172.64.155.209,192.168.1.4,6,85
1753546006.233473,172.64.155.209,192.168.1.4,6,54
1753546006.233739,172.64.155.209,192.168.1.4,6,54
1753546006.234253,172.64.155.209,192.168.1.4,6,54
1753546006.234658,172.64.155.209,192.168.1.4,6,54
1753546006.235247,172.64.155.209,192.168.1.4,6,54
1753546006.242815,172.64.155.209,192.168.1.4,6,54
1753546006.297879,192.168.1.4,172.64.155.209,6,54
1753546006.533064,172.64.155.209,192.168.1.4,6,705
1753546006.533064,172.64.155.209,192.168.1.4,6,87
1753546006.533174,192.168.1.4,172.64.155.209,6,54
1753546006.534836,172.64.155.209,192.168.1.4,6,363
1753546006.534836,172.64.155.209,192.168.1.4,6,85
1753546006.534938,192.168.1.4,172.64.155.209,6,54
1753546006.593162,172.64.155.209,192.168.1.4,6,598
1753546006.593162,172.64.155.209,192.168.1.4,6,1445
1753546006.593162,172.64.155.209,192.168.1.4,6,1494
1753546006.593162,172.64.155.209,192.168.1.4,6,1396
1753546006.593162,172.64.155.209,192.168.1.4,6,1494
1753546006.593162,172.64.155.209,192.168.1.4,6,299
1753546006.593162,172.64.155.209,192.168.1.4,6,1494
1753546006.593162,172.64.155.209,192.168.1.4,6,1396
1753546006.593162,172.64.155.209,192.168.1.4,6,680
1753546006.593399,192.168.1.4,172.64.155.209,6,54
1753546006.821384,135.171.2.152,192.168.1.4,6,537
1753546006.872278,192.168.1.4,135.171.2.152,6,54
1753546006.905349,192.168.1.4,192.168.1.3,6,164
1753546007.014192,192.168.1.3,192.168.1.4,6,164
1753546007.061212,192.168.1.4,192.168.1.3,6,54
1753546010.129441,192.168.1.4,64.233.170.188,6,55
1753546010.198873,64.233.170.188,192.168.1.4,6,66
1753546011.164117,192.168.1.4,172.64.155.209,6,6988
1753546011.164237,192.168.1.4,172.64.155.209,6,439
1753546011.178739,172.64.155.209,192.168.1.4,6,56
1753546011.178739,172.64.155.209,192.168.1.4,6,56
1753546011.178739,172.64.155.209,192.168.1.4,6,56
1753546011.466548,172.64.155.209,192.168.1.4,6,354
1753546011.466548,172.64.155.209,192.168.1.4,6,362
1753546011.466548,172.64.155.209,192.168.1.4,6,85
1753546011.466668,192.168.1.4,172.64.155.209,6,54
1753546011.467589,192.168.1.4,172.64.155.209,6,89
1753546011.521141,172.64.155.209,192.168.1.4,6,56
1753546012.028761,192.168.1.4,192.168.1.3,6,164
1753546012.135855,192.168.1.3,192.168.1.4,6,164
1753546012.189807,192.168.1.4,192.168.1.3,6,54
1753546014.261744,192.168.1.4,104.26.7.95,6,111
1753546014.278372,104.26.7.95,192.168.1.4,6,54
1753546014.552151,104.26.7.95,192.168.1.4,6,501
1753546014.552151,104.26.7.95,192.168.1.4,6,176
1753546014.552151,104.26.7.95,192.168.1.4,6,85
1753546014.552446,192.168.1.4,104.26.7.95,6,54
1753546014.553203,192.168.1.4,104.26.7.95,6,89
1753546014.571042,104.26.7.95,192.168.1.4,6,54
